model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	2.2445857	-0.98547811	0.90711122	4	1.1445637	-1.0656146	1.1445039	-1.0655613	2	1	0.43023178	0.42456543	0.43022747	0.42455024	0.99993361	-0.98547811	0	0	0	0.98319767	1.0190566	1.0011272	-0.69008066	0.98319767	0.69008066	0.58623402	-0.65795194	-9.5755277	R0:N6:S0:1	1.0011272	20a4d9d	v2.1.5	 3.26e+00	 1.00e+07	 8.58e-03	general_bath_1D.py	2023-07-06@14:32
model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	1.9595636	-0.9617348	0.55411375	4	1.3133194	-0.92430337	1.3133423	-0.92433447	2	1	0.42519886	0.42648984	0.42519751	0.42649277	1.0085747	-0.9617348	0	0	0	1.0166577	1.0128048	1.0147312	-0.66991309	1.0166577	0.66991309	0.6934892	-0.68578333	-9.000224	R0:N6:S0:1	1.0147312	20a4d9d	v2.1.5	 7.38e-04	 9.41e-02	 1.00e+06	general_bath_1D.py	2023-07-07@10:19
model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	1.9599672	-0.96501406	3.708043	4	1.3133194	-0.92430337	1.3133423	-0.92433447	2	1	0.42519886	0.42648984	0.42519751	0.42649277	0.99520939	-0.96501406	0	0	0	0.99640054	1.0096111	1.0030058	-0.67596171	0.99640054	0.67596171	0.64087766	-0.66729871	-9.0087074	R0:N6:S0:1	1.0030058	20a4d9d	v2.1.5	 1.52e-04	 1.10e-01	 1.00e+06	general_bath_1D.py	2023-07-07@10:21
model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	1.959294	-0.97657166	-7.8621004	4	1.3133194	-0.92430337	1.3133423	-0.92433447	2	1	0.42519886	0.42648984	0.42519751	0.42649277	1.0096758	-0.97657166	0	0	0	1.0101338	1.0185539	1.0143439	-0.68502559	1.0101338	0.68502559	0.65021647	-0.66705671	-8.9924414	R0:1	1.0143439	20a4d9d	v2.1.5	 9.46e-04	 7.36e-02	 1.00e+06	general_bath_1D.py	2023-07-07@10:25
model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	distance	diff_param	diff_hybrid	script	time	
2L_4b_gen	1.9596121	-0.96884652	6.5437735	4	1.3133194	-0.92430337	1.3133423	-0.92433447	2	1	0.42519886	0.42648984	0.42519751	0.42649277	1.0004096	-0.96884652	0	0	0	1.0069526	1.0076009	1.0072767	-0.67604909	1.0069526	0.67604909	0.66180691	-0.66310355	-8.9911395	R0:1	1.0072767	20a4d9d	v2.1.5	 4.29e-04	 8.89e-02	 1.00e+06	general_bath_1D.py	2023-07-07@10:26
2L_4b_gen	2.2664534	-0.9680652	2.3513154	4	1.2203339	-1.0755099	1.2203139	-1.0755287	2	1	0.43533036	0.42975813	0.43533374	0.42975852	1.0032026	-0.9680652	0	0	0	1.0121328	0.99826329	1.005198	-0.67686812	1.0121328	0.67686812	0.67052931	-0.64279033	-9.6172115	R0:1	1.005198	20a4d9d	v2.1.5	 7.10e-04	 4.73e-02	 2.80e-02	general_bath_1D.py	2023-07-07@10:27
