model	E_kin	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	script	time	
2L_4b_gen	-1.0057451	4	0.36313462	-0.20382376	0.35619908	-0.20176304	1.025	1	0.32452419	0.33007638	0.32330932	0.32916162	0.86475593	-1.0057451	nan	nan	nan	nan	nan	0.89727193	-0.60547417	nan	nan	nan	nan	-4.2366844	R0:N6:S0:1	0.89727193	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:34
2L_4b_gen	-1.0109716	4	0.36314513	-0.20290387	0.35658324	-0.20119544	1.025	1	0.32498591	0.32987113	0.32389688	0.32903464	0.86590649	-1.0109716	nan	nan	nan	nan	nan	0.8985562	-0.61022872	nan	nan	nan	nan	-4.2346724	R0:N6:S0:1	0.8985562	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:35
2L_4b_gen	-1.0077549	4	0.36071269	-0.20320274	0.35330038	-0.20104376	1.025	1	0.32455884	0.3300395	0.32327334	0.32906598	0.86587645	-1.0077549	nan	nan	nan	nan	nan	0.8976531	-0.60662216	nan	nan	nan	nan	-4.2353154	R0:N6:S0:1	0.8976531	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:36
2L_4b_gen	-1.0055559	4	0.36523194	-0.20550887	0.35919748	-0.20336974	1.025	1	0.32515211	0.33116222	0.32403596	0.33032265	0.86513901	-1.0055559	nan	nan	nan	nan	nan	0.89720318	-0.60549501	nan	nan	nan	nan	-4.2450608	R0:N6:S0:1	0.89720318	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:37
2L_4b_gen	-1.0050619	4	0.36829692	-0.20437958	0.36210632	-0.20254607	1.025	1	0.32585407	0.32991379	0.3247845	0.32909528	0.86518156	-1.0050619	nan	nan	nan	nan	nan	0.89810619	-0.6057798	nan	nan	nan	nan	-4.2394013	R0:N6:S0:1	0.89810619	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:37
2L_4b_gen	-1.0049473	4	0.36537412	-0.20387063	0.35914623	-0.20227425	1.025	1	0.32513328	0.33013203	0.32410098	0.32934892	0.866576	-1.0049473	nan	nan	nan	nan	nan	0.89922187	-0.6054458	nan	nan	nan	nan	-4.23819	R0:N6:S0:1	0.89922187	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:38
2L_4b_gen	-1.0089506	4	0.36551493	-0.20511821	0.35952441	-0.20332852	1.025	1	0.32412001	0.33120229	0.32307236	0.33041938	0.86543922	-1.0089506	nan	nan	nan	nan	nan	0.89851561	-0.60865965	nan	nan	nan	nan	-4.242209	R0:N6:S0:1	0.89851561	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:39
2L_4b_gen	-1.0063532	4	0.3634416	-0.20271226	0.35651544	-0.20077423	1.025	1	0.32555591	0.32954506	0.3243827	0.32863546	0.86562933	-1.0063532	nan	nan	nan	nan	nan	0.89794368	-0.60578033	nan	nan	nan	nan	-4.2338686	R0:N6:S0:1	0.89794368	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:40
2L_4b_gen	-1.0097979	4	0.36336916	-0.20360664	0.35720687	-0.2020228	1.025	1	0.32506347	0.32997268	0.32404406	0.32918918	0.86592371	-1.0097979	nan	nan	nan	nan	nan	0.89800623	-0.60903215	nan	nan	nan	nan	-4.2378442	R0:N6:S0:1	0.89800623	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:41
2L_4b_gen	-1.0040496	4	0.3671658	-0.20603992	0.36151926	-0.20396442	1.025	1	0.32516355	0.33175265	0.32410283	0.33096008	0.86474475	-1.0040496	nan	nan	nan	nan	nan	0.89745629	-0.60309404	nan	nan	nan	nan	-4.2474832	R0:N6:S0:1	0.89745629	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:42
2L_4b_gen	-1.0084537	4	0.37413013	-0.20255996	0.3683258	-0.20109972	1.025	1	0.32790918	0.32998692	0.32696834	0.3292411	0.86496139	-1.0084537	nan	nan	nan	nan	nan	0.89934376	-0.60986307	nan	nan	nan	nan	-4.2350781	R0:N6:S0:1	0.89934376	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:43
2L_4b_gen	-1.0072904	4	0.35916791	-0.20372178	0.35133541	-0.20184387	1.025	1	0.32297016	0.33095462	0.32167379	0.32999443	0.86611167	-1.0072904	nan	nan	nan	nan	nan	0.89839059	-0.60656381	nan	nan	nan	nan	-4.2367248	R0:N6:S0:1	0.89839059	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:44
2L_4b_gen	-1.0126196	4	0.35901394	-0.20471213	0.3522231	-0.20262318	1.025	1	0.32390605	0.33055136	0.3227004	0.32965176	0.86476116	-1.0126196	nan	nan	nan	nan	nan	0.89624685	-0.61020643	nan	nan	nan	nan	-4.2414217	R0:N6:S0:1	0.89624685	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:45

model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	script	time	
2L_4b_gen	0.51550917	-1.0126196	0.30906244	4	0.35901394	-0.20471213	0.3522231	-0.20262318	1.025	1	0.32390605	0.33055136	0.3227004	0.32965176	0.86476116	-1.0126196	nan	nan	nan	nan	nan	0.89624685	-0.61020643	nan	nan	nan	nan	-4.2414217	R0:N6:S0:1	0.89624685	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:45

model	E_kin	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	script	time	
2L_4b_gen	-1.0083137	4	0.36564127	-0.20350088	0.35841486	-0.20104374	1.05	1	0.32715949	0.32958884	0.32585514	0.32857511	0.87127356	-1.0083137	nan	nan	nan	nan	nan	0.90212804	-0.60881609	nan	nan	nan	nan	-4.2831484	R0:N6:S0:1	0.90212804	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:46
2L_4b_gen	-1.0052998	4	0.37284099	-0.20855161	0.36938457	-0.20575713	1.05	1	0.32272679	0.33292774	0.3217776	0.3322485	0.8702177	-1.0052998	nan	nan	nan	nan	nan	0.90464997	-0.60933745	nan	nan	nan	nan	-4.2950371	R0:N6:S0:1	0.90464997	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:46
2L_4b_gen	-1.0115867	4	0.36774544	-0.20597872	0.36204188	-0.20348084	1.05	1	0.32097909	0.33248109	0.31981515	0.33165626	0.87116098	-1.0115867	nan	nan	nan	nan	nan	0.90536236	-0.61484581	nan	nan	nan	nan	-4.2838056	R0:N6:S0:1	0.90536236	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:47
2L_4b_gen	-1.0067843	4	0.36334784	-0.20729341	0.35792673	-0.20420273	1.05	1	0.32006244	0.33320899	0.31880217	0.33233744	0.87034853	-1.0067843	nan	nan	nan	nan	nan	0.90306875	-0.60928968	nan	nan	nan	nan	-4.2887797	R0:N6:S0:1	0.90306875	20a4d9d	v2.1.5	general_bath_1D.py	2023-07-27@12:48
