model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	omegaH	script	time	
2L_4b_gen	0.53645382	-0.95775622	0.27967771	4	0.4173982	-0.21205202	0.41426073	-0.21155945	1.1	1	0.32552913	0.33477469	0.32506049	0.33445078	0.87896702	-0.95775622	nan	nan	nan	nan	nan	0.86858223	-0.56680963	nan	nan	nan	nan	-4.3801588	R0:N6:S0:1	0.86858223	20a4d9d	v2.1.5	0.53645382	general_bath_1D.py	2023-07-26@10:36
2L_4b_gen	1.2585047	-1.0162332	1.0580461	4	0.64328152	-0.56044275	0.6432923	-0.56044473	1.1	1	0.39196034	0.39254084	0.39196498	0.39254383	0.87088869	-1.0162332	nan	nan	nan	nan	nan	0.91660032	-0.64706395	nan	nan	nan	nan	-5.8500731	R0:N6:S0:1	0.91660032	20a4d9d	v2.1.5	1.2585047	general_bath_1D.py	2023-07-26@10:37
2L_4b_gen	0.5172122	-1.0103324	-0.451554	4	0.41966789	-0.2112096	0.41479408	-0.20883499	1.1	1	0.324049	0.33360622	0.32302036	0.33287014	0.87330168	-1.0103324	nan	nan	nan	nan	nan	0.91886658	-0.62800156	nan	nan	nan	nan	-4.3655572	R0:N6:S0:1	0.91886658	20a4d9d	v2.1.5	0.5172122	general_bath_1D.py	2023-07-26@10:37
2L_4b_gen	0.5065241	-1.0154131	0.17035882	4	0.35559206	-0.20298957	0.34341903	-0.20130468	1.1	1	0.31427007	0.33320022	0.31237659	0.33202049	0.87568456	-1.0154131	nan	nan	nan	nan	nan	0.90472419	-0.61722302	nan	nan	nan	nan	-4.3454403	R0:N6:S0:1	0.90472419	20a4d9d	v2.1.5	0.5065241	general_bath_1D.py	2023-07-26@10:38
2L_4b_gen	0.53684224	-1.0069218	0.33595239	4	0.37033429	-0.21466758	0.37194764	-0.21227231	1.1	1	0.32678148	0.32805579	0.32654642	0.3278763	0.88244966	-1.0069218	nan	nan	nan	nan	nan	0.90933494	-0.61019265	nan	nan	nan	nan	-4.4017662	R0:N6:S0:1	0.90933494	20a4d9d	v2.1.5	0.53684224	general_bath_1D.py	2023-07-26@10:38
2L_4b_gen	0.53105407	-1.0235008	-0.49553423	4	0.4138452	-0.21368195	0.43096917	-0.21501759	1.1	1	0.32297687	0.34005423	0.32507298	0.34165472	0.86911006	-1.0235008	nan	nan	nan	nan	nan	0.91225639	-0.63208555	nan	nan	nan	nan	-4.3967765	R0:N6:S0:1	0.91225639	20a4d9d	v2.1.5	0.53105407	general_bath_1D.py	2023-07-26@10:38
2L_4b_gen	0.53501085	-0.98024081	0.28170943	4	0.37110358	-0.19799891	0.36314794	-0.19668221	1.1	1	0.32655003	0.32769559	0.32535694	0.32678873	0.84657208	-0.98024081	nan	nan	nan	nan	nan	0.81427302	-0.51812084	nan	nan	nan	nan	-4.3375646	R0:N6:S0:1	0.81427302	20a4d9d	v2.1.5	0.53501085	general_bath_1D.py	2023-07-26@10:39
2L_4b_gen	0.99838273	-1.0173146	0.31716628	4	0.32269654	-0.43217053	0.32270365	-0.4321906	1.1	1	0.36477604	0.32878854	0.36477862	0.32879451	0.90112115	-1.0173146	nan	nan	nan	nan	nan	0.90362951	-0.61142826	nan	nan	nan	nan	-5.3206544	R0:N6:S0:1	0.90362951	20a4d9d	v2.1.5	0.99838273	general_bath_1D.py	2023-07-26@10:39
2L_4b_gen	0.55049573	-0.99709184	-0.22605414	4	0.31589789	-0.22431059	0.32748839	-0.22750709	1.1	1	0.29546386	0.347599	0.29783235	0.34873069	0.8718799	-0.99709184	nan	nan	nan	nan	nan	0.80094072	-0.49702696	nan	nan	nan	nan	-4.4409862	R0:N6:S0:1	0.80094072	20a4d9d	v2.1.5	0.55049573	general_bath_1D.py	2023-07-26@10:40
2L_4b_gen	0.61382482	-1.0254994	0.32798699	4	0.30533693	-0.25096593	0.30544544	-0.25106489	1.1	1	0.32608597	0.32304135	0.32611902	0.32306369	0.88553321	-1.0254994	nan	nan	nan	nan	nan	0.90039998	-0.6138711	nan	nan	nan	nan	-4.5611676	R0:N6:S0:1	0.90039998	20a4d9d	v2.1.5	0.61382482	general_bath_1D.py	2023-07-26@10:40
2L_4b_gen	0.54719421	-1.0244337	-0.62900731	4	0.3492656	-0.21652812	0.35443507	-0.21676808	1.1	1	0.3229017	0.33465266	0.3235254	0.33519555	0.8790699	-1.0244337	nan	nan	nan	nan	nan	0.89680717	-0.61501321	nan	nan	nan	nan	-4.4242033	R0:N6:S0:1	0.89680717	20a4d9d	v2.1.5	0.54719421	general_bath_1D.py	2023-07-26@10:40
2L_4b_gen	0.59742986	-1.0028983	-0.45498638	4	0.43842975	-0.24015442	0.44159239	-0.24098697	1.1	1	0.34709635	0.33431362	0.34756486	0.33475514	0.87781738	-1.0028983	nan	nan	nan	nan	nan	0.90845959	-0.615715	nan	nan	nan	nan	-4.5252847	R0:N6:S0:1	0.90845959	20a4d9d	v2.1.5	0.59742986	general_bath_1D.py	2023-07-26@10:41
2L_4b_gen	0.53370961	-0.98648588	0.54937108	4	0.44695455	-0.21834292	0.44929877	-0.2165255	1.1	1	0.32884273	0.33556895	0.32876162	0.3354656	0.8744629	-0.98648588	nan	nan	nan	nan	nan	0.91566664	-0.60730669	nan	nan	nan	nan	-4.4048295	R0:N6:S0:1	0.91566664	20a4d9d	v2.1.5	0.53370961	general_bath_1D.py	2023-07-26@10:41
2L_4b_gen	0.52404172	-1.0060701	-1.8149171	4	0.43940557	-0.21291257	0.43750226	-0.21253427	1.1	1	0.32766937	0.33405975	0.32738595	0.33385347	0.87321015	-1.0060701	nan	nan	nan	nan	nan	0.9170499	-0.62712824	nan	nan	nan	nan	-4.3868905	R0:N6:S0:1	0.9170499	20a4d9d	v2.1.5	0.52404172	general_bath_1D.py	2023-07-26@10:42
